codigo,valor,populacao,tipoRGF
2107100,67.77,19292,Completo
2107209,47.22,14264,Simplificado
2107258,53.69,5340,Simplificado
2107308,49.42,4683,Simplificado
2107357,59.96,20774,Completo
2107407,52.68,19448,Simplificado
2107456,49.22,14563,Completo
2107605,61.09,19661,Completo
2107704,51.64,21290,Simplificado
2107803,53.58,34805,Completo
2107902,53.35,18898,Simplificado
2108009,54.0,19358,Simplificado
2108058,51.68,15901,Simplificado
2108108,52.44,21015,Completo
2108207,52.61,39267,Completo
2108256,54.83,24930,Completo
2108405,46.54,14291,Completo
2108454,53.94,23025,Completo
2108504,54.0,32815,Simplificado
2108603,53.26,82990,Completo
2108702,31.3,21594,Completo
2108801,78.37,18527,Simplificado
2108900,68.47,18157,Completo
2109007,53.32,23675,Simplificado
2109056,53.39,5995,Simplificado
2109106,51.29,47567,Completo
2109239,55.97,6959,Completo
2109270,53.93,18764,Completo
2109304,72.31,11124,Completo
2109403,53.33,15197,Completo
2109452,54.64,30337,Simplificado
2109502,53.07,20243,Completo
2109551,53.73,7755,Simplificado
2109601,53.94,42482,Simplificado
2109700,54.0,5663,Simplificado
2109759,51.6,7719,Simplificado
2109809,53.46,41770,Simplificado
2109908,53.79,88590,Completo
2110005,53.06,72440,Completo
2110104,48.5,25519,Completo
2110203,51.05,37404,Simplificado
2110237,50.62,13223,Simplificado
2110278,53.45,15654,Simplificado
2110302,50.09,14534,Simplificado
2110401,67.35,18608,Completo
2110500,52.15,44811,Completo
2110609,48.85,28343,Completo
2110658,58.2,7363,Completo
2110708,53.95,34368,Completo
2110807,52.9,4609,Simplificado
2110856,49.87,11652,Simplificado
2110906,55.0,12201,Simplificado
2111003,54.0,20629,Simplificado
2111029,54.47,15828,Simplificado
2111052,52.35,11162,Simplificado
2111078,53.78,18438,Simplificado
2111102,52.86,25860,Completo
2111201,49.9,176321,Completo
2111250,36.89,7642,Simplificado
2111300,49.62,1094667,Completo
2111409,54.0,18988,Simplificado
2111508,52.25,41350,Simplificado
2111532,39.61,12645,Simplificado
2111573,53.51,4651,Simplificado
2111607,54.0,18755,Simplificado
2111631,52.11,5345,Completo
2111672,52.75,6649,Completo
2111706,54.0,22142,Completo
2111722,57.81,13730,Simplificado
2111748,53.29,11067,Simplificado
2111763,47.69,14367,Completo
2111789,50.94,10206,Completo
2111805,0.52,18001,Simplificado
2111904,49.71,10639,Completo
2111953,52.86,5645,Simplificado
2112001,53.67,8459,Completo
2112100,69.19,29064,Completo
2112209,52.97,167973,Completo
2112233,53.6,21885,Simplificado
2112274,52.95,5826,Simplificado
2112308,53.51,41621,Completo
2112407,51.74,35497,Completo
2112456,53.33,25365,Simplificado
2112506,45.86,58311,Completo
2112605,52.63,32775,Completo
2112704,51.67,55841,Completo
2112803,53.37,52229,Completo
2112852,48.92,13183,Simplificado
2112902,54.01,32664,Completo
2113009,51.86,31525,Simplificado
2114007,48.78,51471,Completo
2200053,45.91,7065,Simplificado
2200103,37.61,5148,Completo
2200202,51.34,17349,Simplificado
2200251,45.87,7636,Completo
2200277,35.46,4912,Completo
2200301,54.0,14268,Completo
2200400,57.4,40440,Completo
2200459,54.52,5392,Completo
2200509,39.81,17592,Simplificado
2200608,41.73,6792,Simplificado
2200707,56.11,9818,Completo
2200806,43.47,3158,Simplificado
2200905,44.31,5844,Completo
2200954,33.72,2551,Simplificado
2201002,52.9,4735,Completo
2201051,46.26,7828,Simplificado
2201101,39.37,11252,Completo
2201150,51.41,11497,Simplificado
2201176,61.89,3950,Completo
2201309,48.77,3344,Simplificado
2201408,56.61,7038,Completo
2201507,55.58,26806,Completo
2201556,53.78,3999,Completo
2201572,46.68,3544,Simplificado
2201606,47.65,10462,Simplificado
2201705,49.91,5495,Completo
2201739,56.01,6200,Completo
2201804,56.19,4496,Completo
2201903,47.1,24960,Simplificado
2201929,50.95,5654,Simplificado
2201945,48.1,6388,Simplificado
2201960,52.48,8310,Completo
2201988,55.04,3902,Simplificado
2202000,53.54,19754,Simplificado
2202026,51.84,8223,Simplificado
2202075,44.48,3544,Simplificado
2202083,51.23,7608,Simplificado
2202091,43.34,5770,Simplificado
2202117,51.27,5019,Completo
2202133,50.48,5919,Simplificado
2202174,45.04,7245,Completo
2202208,55.09,46770,Simplificado
2202251,51.17,3957,Completo
2202307,43.23,21112,Completo
2202406,52.18,11388,Completo
2202455,40.04,4086,Simplificado
2202505,61.4,10866,Completo
2202539,53.84,5845,Simplificado
2202554,46.48,5049,Simplificado
2202604,49.43,19715,Simplificado
2202653,65.18,5395,Completo
2202703,54.26,27725,Completo
2202711,55.29,4881,Completo
2202729,52.57,6140,Completo
2202737,51.19,4007,Simplificado
2202752,45.09,6451,Simplificado
2202778,53.83,7651,Simplificado
2202802,48.16,4798,Simplificado
2202851,50.18,4678,Simplificado
2202901,53.04,26575,Simplificado
2203107,52.47,10401,Completo
2203206,53.75,11348,Simplificado
2203255,40.81,4425,Completo
2203271,38.86,5316,Simplificado
2203305,49.87,13793,Simplificado
2203404,45.83,6884,Simplificado
2203420,45.98,4356,Simplificado
2203453,41.25,9546,Completo
2203503,54.95,14630,Completo
2203602,44.68,4900,Simplificado
2203701,67.11,39621,Completo
2203750,52.42,5295,Simplificado
2203859,44.18,2556,Simplificado
2203909,53.39,59840,Completo
2204006,47.83,5349,Simplificado
2204105,50.74,4373,Simplificado
2204154,54.0,3166,Simplificado
2204204,47.46,9262,Simplificado
2204303,54.26,11590,Simplificado
2204352,44.06,5424,Simplificado
2204402,54.0,10686,Completo
2204501,38.72,10500,Completo
2204600,45.27,3875,Simplificado
2204659,389.54,9394,Completo
2204709,51.95,15296,Completo
2204808,51.96,9782,Simplificado
2204907,50.93,8551,Simplificado
2205003,47.75,11507,Simplificado
2205102,66.99,11010,Completo
2205151,45.95,5753,Simplificado
2205201,53.99,19035,Simplificado
2205250,42.94,4494,Simplificado
2205276,51.03,4855,Completo
2205359,46.72,3010,Simplificado
2205409,49.88,14332,Simplificado
2205458,48.64,5419,Simplificado
2205508,59.67,39072,Completo
2205516,54.84,5472,Completo
2205524,53.57,5614,Completo
2205532,52.29,4748,Simplificado
2205540,46.81,2831,Simplificado
2205557,63.04,8504,Completo
2205565,43.42,4653,Simplificado
2205573,60.26,6738,Completo
2205581,36.76,4052,Completo
2205599,42.12,5154,Completo
2205607,43.83,5307,Simplificado
2205706,54.0,30177,Completo
2205904,56.4,5348,Completo
2205953,45.32,8439,Simplificado
2206001,46.44,4550,Completo
2206050,53.09,6434,Completo
2206209,61.59,33684,Completo
2206308,48.13,1250,Completo
2206357,60.75,6617,Completo
2206407,43.15,10565,Simplificado
2206506,43.04,7729,Simplificado
2206605,55.3,10611,Completo
2206670,53.31,6781,Simplificado
2206696,59.64,9105,Completo
2206704,55.1,7356,Simplificado
2206720,64.14,8536,Completo
2206753,52.36,4847,Completo
2206803,65.19,8661,Completo
2206902,52.6,6575,Completo
2206951,39.18,2979,Simplificado
2207009,42.33,36971,Simplificado
2207207,47.87,6862,Simplificado
2207355,50.91,3375,Completo
2207504,50.3,14488,Completo
2207553,50.74,3953,Simplificado
2207603,90.68,10762,Completo
2207702,62.39,152653,Completo
2207751,40.38,4302,Completo
2207777,60.0,6377,Completo
2207793,36.79,4023,Simplificado
2207801,41.83,20490,Simplificado
2207850,44.14,3685,Completo
2207900,56.87,38704,Completo
2207934,47.52,2529,Simplificado
2207959,46.0,4365,Simplificado
2208007,55.83,78002,Completo
2208106,42.55,12115,Completo
2208205,51.24,18389,Completo
2208304,56.92,28703,Completo
2208403,53.03,63694,Completo
2208502,52.63,12526,Completo
2208551,49.42,2700,Simplificado
2208601,38.43,3153,Simplificado
2208650,49.73,8966,Completo
2208700,56.17,8758,Completo
2208809,51.23,17978,Completo
2208858,231.03,4316,Simplificado
2208874,58.36,4464,Simplificado
2208908,41.02,7305,Simplificado
2209005,53.75,6431,Simplificado
2209104,55.38,6232,Simplificado
2209153,49.43,4004,Completo
2209203,56.5,6252,Completo
2209302,44.9,5836,Simplificado
2209351,46.04,4625,Simplificado
2209377,40.39,5258,Completo
2209401,47.54,6388,Completo
2209450,33.03,2155,Simplificado
2209500,46.41,3785,Simplificado
2209609,47.74,2954,Completo
2209708,48.93,6425,Completo
2209757,38.98,3025,Completo
2209807,43.39,4999,Simplificado
2209856,53.07,4602,Simplificado
2209872,58.05,6019,Completo
2209906,61.97,6157,Completo
2209955,42.73,4832,Simplificado
2209971,48.92,7937,Completo
2210003,45.15,20537,Simplificado
2210052,50.23,5338,Simplificado
2210102,59.14,3750,Completo
2210201,52.36,6710,Completo
2210300,46.58,6353,Simplificado
2210359,46.67,4568,Simplificado
2210375,41.2,2642,Completo
2210383,53.18,2449,Completo
2210391,47.86,3040,Simplificado
2210409,56.05,17686,Completo
2210508,48.3,14255,Simplificado
2210607,54.13,34535,Completo
2210631,49.05,4286,Simplificado
2210656,53.0,10024,Completo
2210706,38.23,14615,Completo
2210805,54.87,12663,Completo
2210904,48.7,4576,Simplificado
2210938,52.3,6692,Completo
2210953,50.06,2908,Simplificado
2210979,50.9,2756,Completo
2211001,46.52,861442,Completo
2211100,59.48,44396,Completo
2211209,46.43,21457,Simplificado
2211308,44.44,20906,Completo
2211357,55.22,4956,Completo
2211407,42.58,4397,Simplificado
2211506,36.91,3075,Simplificado
2211605,44.88,2990,Simplificado
2211704,48.55,4454,Simplificado
2300101,61.11,11663,Completo
2300150,53.89,16639,Completo
2300200,55.47,62557,Completo
2300309,46.73,53931,Completo
2300408,41.8,17303,Completo
2300507,46.72,11529,Completo
2300606,49.64,7521,Simplificado
2300705,47.51,17096,Completo
2300754,42.87,43131,Completo
2300804,48.57,7328,Simplificado
2300903,51.58,14814,Completo
2301000,51.0,79563,Completo
2301109,32.3,74084,Completo
2301208,53.76,26455,Completo
2301257,47.77,10901,Simplificado
2301307,59.71,21550,Completo
2301406,45.1,11346,Completo
2301505,42.86,7836,Simplificado
2301604,48.46,23417,Completo
2301703,53.47,24699,Simplificado
2301802,62.19,6272,Simplificado
2301851,53.98,18151,Completo
2301901,40.11,60155,Completo
2301950,53.11,21104,Simplificado
2302008,57.43,22593,Completo
2302057,50.95,14989,Completo
2302107,51.43,35575,Completo
2302206,59.42,53421,Completo
2302305,64.07,32593,Completo
2302404,53.99,54440,Completo
2302503,45.08,49109,Completo
2302602,44.74,63408,Completo
2302701,48.92,27409,Completo
2302800,65.21,78049,Completo
2302909,57.63,17793,Completo
2303006,43.87,22427,Completo
2303105,46.03,18802,Completo
2303204,50.34,27095,Simplificado
2303303,38.11,18950,Simplificado
2303402,53.99,17747,Completo
2303501,49.8,71499,Completo
2303600,53.71,20562,Completo
2303659,60.02,10437,Completo
2303709,45.28,363982,Completo
2303808,52.75,25249,Completo
2303907,57.96,13047,Completo
2303931,63.51,13476,Completo
2303956,48.89,19345,Completo
2304004,50.62,23258,Completo
2304103,37.2,74982,Completo
2304202,50.01,131372,Completo
2304236,52.36,17994,Completo
2304251,52.77,24131,Completo
2304269,51.45,9585,Completo
2304285,47.27,52880,Completo
2304301,47.95,18882,Completo
2304350,53.38,24169,Completo
2304400,42.31,2643247,Completo
2304459,46.57,16357,Completo
2304509,55.85,13758,Completo
2304608,58.37,6956,Completo
2304657,52.73,15423,Completo
2304707,48.61,54729,Completo
2304806,56.66,4469,Completo
2304905,51.03,11076,Completo
2304954,57.33,26472,Completo
2305001,46.37,39713,Completo
